"train/global_step","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: seq_bn - _step","Group: seq_bn - _step__MIN","Group: seq_bn - _step__MAX","Group: seq_bn - eval/overall_f1","Group: seq_bn - eval/overall_f1__MIN","Group: seq_bn - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"106","1","1","1","0","0","0","1","1","1","0.004578809489113418","0","0.005847953216374269","1","1","1","0.016281913797691006","0.005434782608695652","0.026737967914438505","1","1","1","0.07348475009290799","0.05555555555555555","0.09501187648456057","1","1","1","0.004578809489113418","0","0.005847953216374269","1","1","1","0.004572234546093752","0","0.0058309037900874635","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0.8035813228443605","0.7839999999999999","0.8176795580110497"
"212","3","3","3","0.024316502695487758","0.016260162601626018","0.03921568627450981","3","3","3","0.36846436584287356","0.3265993265993266","0.4397163120567376","3","3","3","0.48523417292128573","0.45074224021592446","0.5069637883008357","3","3","3","0.47557120369309624","0.40317460317460313","0.5174418604651162","3","3","3","0.36846436584287356","0.3265993265993266","0.4397163120567376","3","3","3","0.4821011517454819","0.45222072678331093","0.5090403337969402","3","3","3","0.004502264340037073","0","0.005797101449275362","3","3","3","0.004556073909393384","0","0.005813953488372093","3","3","3","0.7998408554985323","0.7709359605911329","0.8238482384823848"
"318","5","5","5","0.25255317039057595","0.23001949317738793","0.2961608775137112","5","5","5","0.5818961361773705","0.5401844532279314","0.6417525773195876","5","5","5","0.6928135289962551","0.6795180722891566","0.7050938337801608","5","5","5","0.6655586177357001","0.6267880364109232","0.7049608355091384","5","5","5","0.5818961361773705","0.5401844532279314","0.6417525773195876","5","5","5","0.7075585500636475","0.6948717948717948","0.7249357326478149","5","5","5","0.1411501154290396","0.11663066954643629","0.201980198019802","5","5","5","0.03197509385719848","0.02185792349726776","0.03814713896457766","5","5","5","0.8269875688718867","0.8194993412384717","0.835135135135135"
"424","7","7","7","0.40886851074552205","0.3774145616641902","0.45375722543352603","7","7","7","0.6761728823532783","0.6622340425531915","0.6906666666666667","7","7","7","0.7428829539719621","0.7221510883482715","0.7704081632653061","7","7","7","0.7170770101545891","0.7016645326504481","0.7279503105590063","7","7","7","0.6761728823532783","0.6622340425531915","0.6906666666666667","7","7","7","0.7533931053060883","0.728877679697352","0.7715736040609138","7","7","7","0.4525032664358532","0.390625","0.4892086330935252","7","7","7","0.19900438123339953","0.1702127659574468","0.22222222222222224","7","7","7","0.8263289104670474","0.8130081300813008","0.8353741496598639"
"530","9","9","9","0.52661858949613","0.5053191489361702","0.5662983425414365","9","9","9","0.7137836356738655","0.6897404202719406","0.7430830039525692","9","9","9","0.7734983049636314","0.7609254498714653","0.7891156462585034","9","9","9","0.762176694366442","0.7550200803212852","0.7652645861601086","9","9","9","0.7137836356738655","0.6897404202719406","0.7430830039525692","9","9","9","0.7887707096430681","0.7808041504539559","0.7989056087551302","9","9","9","0.6287797178384855","0.5950196592398428","0.6578947368421052","9","9","9","0.46824968449344323","0.4026186579378069","0.5217391304347827","9","9","9","0.8293767724805887","0.8086838534599727","0.8515950069348128"
"636","11","11","11","0.5980526700108321","0.5627376425855513","0.6359945872801083","11","11","11","0.7314349000620393","0.7142857142857143","0.7446808510638298","11","11","11","0.7663509525870872","0.741190765492102","0.7841059602649008","11","11","11","0.768097314882281","0.7512437810945274","0.7903225806451613","11","11","11","0.7314349000620393","0.7142857142857143","0.7446808510638298","11","11","11","0.782518954080685","0.7628607277289837","0.8010680907877169","11","11","11","0.6852886847185661","0.657030223390276","0.712258064516129","11","11","11","0.6090476311799609","0.5794655414908579","0.6446499339498019","11","11","11","0.8206464788691938","0.814516129032258","0.8277703604806409"
"742","13","13","13","0.6489912944102393","0.6211340206185567","0.6775956284153006","13","13","13","0.7611572034883192","0.7516778523489932","0.7741046831955923","13","13","13","0.7937186858247192","0.770408163265306","0.8113975576662144","13","13","13","0.7885019229818182","0.7784891165172856","0.7994505494505494","13","13","13","0.7611572034883192","0.7516778523489932","0.7741046831955923","13","13","13","0.7905523448718867","0.7670886075949368","0.8","13","13","13","0.7186752491871644","0.696969696969697","0.7416020671834626","13","13","13","0.6602032564986406","0.6337135614702154","0.6785225718194254","13","13","13","0.8231106200099643","0.8162162162162162","0.8301369863013699"
"848","15","15","15","0.6720141899195684","0.6571798188874515","0.6814621409921671","15","15","15","0.764835185252036","0.7540983606557377","0.7759562841530055","15","15","15","0.7894923217989389","0.781818181818182","0.7961956521739131","15","15","15","0.7907812689426448","0.7793923381770145","0.8020698576972832","15","15","15","0.764835185252036","0.7540983606557377","0.7759562841530055","15","15","15","0.8044615213148114","0.7979139504563234","0.8080536912751678","15","15","15","0.7341499494022472","0.7107843137254902","0.7538860103626942","15","15","15","0.6910806534472095","0.6757090012330456","0.7079407806191118","15","15","15","0.8296595637712901","0.8178025034770514","0.8387096774193548"
"954","17","17","17","0.6876968724762909","0.6649214659685864","0.7156208277703603","17","17","17","0.7753260359821336","0.7655629139072848","0.7860139860139861","17","17","17","0.8020995096423063","0.7869281045751635","0.8201634877384196","17","17","17","0.8024354808653718","0.7939972714870396","0.8089005235602094","17","17","17","0.7753260359821336","0.7655629139072848","0.7860139860139861","17","17","17","0.8065138886938346","0.793148880105402","0.8155080213903743","17","17","17","0.7448903688014996","0.7210191082802548","0.7688311688311689","17","17","17","0.714411944384672","0.7037037037037036","0.7236315086782376","17","17","17","0.8406890676302012","0.829817158931083","0.8567530695770805"
"1060","19","19","19","0.6973468812708132","0.6734955185659411","0.7231182795698925","19","19","19","0.7761619695705332","0.7661290322580645","0.7808764940239045","19","19","19","0.8099795523177724","0.8015768725361366","0.8191489361702129","19","19","19","0.8123558107904916","0.8027027027027028","0.8307692307692308","19","19","19","0.7761619695705332","0.7661290322580645","0.7808764940239045","19","19","19","0.8093279374040598","0.803763440860215","0.815934065934066","19","19","19","0.7561814249654162","0.7451984635083226","0.7650130548302871","19","19","19","0.7324808585044638","0.7282321899736148","0.7386215864759428","19","19","19","0.8458999348776904","0.8269230769230769","0.8540540540540541"
