"train/global_step","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"96","1","1","1","0.1076815497561064","0.056451612903225805","0.1705685618729097","1","1","1","0","0","0","1","1","1","0.003965708765998551","0","0.009999999999999998","1","1","1","0.26102807905918596","0.20667726550079493","0.29675810473815456","1","1","1","0.007889964345377188","0","0.014705882352941178","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0.9101632626595334","0.8851674641148325","0.9439601494396015"
"192","3","3","3","0.6403029080597549","0.6104046242774567","0.6725","3","3","3","0.0887872479877767","0.07947019867549669","0.11368421052631579","3","3","3","0.3826719259436824","0.3642691415313225","0.4054982817869416","3","3","3","0.622539742047997","0.5198135198135198","0.6929510155316608","3","3","3","0.5563701441624346","0.5021834061135371","0.609286523216308","3","3","3","0.01469339648418426","0","0.028985507246376812","3","3","3","0.003997782113370982","0","0.005063291139240506","3","3","3","0.9255092419464498","0.9082240762812873","0.9496221662468514"
"288","5","5","5","0.8503799275228039","0.8421052631578947","0.8681055155875299","5","5","5","0.3802152394551671","0.3718104495747266","0.39260969976905313","5","5","5","0.6111429110892358","0.5787631271878646","0.6593939393939394","5","5","5","0.8271994460676215","0.7990196078431372","0.8454882571075402","5","5","5","0.8252632132470594","0.8114558472553698","0.8467153284671532","5","5","5","0.2359239060031652","0.2066869300911854","0.2705314009661836","5","5","5","0.0741641220479656","0.05714285714285715","0.10480349344978165","5","5","5","0.936786407852771","0.9204406364749081","0.9534591194968555"
"384","7","7","7","0.8700987832057429","0.848180677540778","0.8848920863309352","7","7","7","0.4716884145713025","0.45","0.4873563218390805","7","7","7","0.7644419304718371","0.746730083234245","0.7885572139303483","7","7","7","0.8613841708147089","0.8405438813349815","0.8705035971223021","7","7","7","0.8605998642828409","0.8421052631578947","0.8843373493975903","7","7","7","0.5230076231329159","0.4793577981651376","0.5707317073170732","7","7","7","0.314987752856893","0.2964028776978417","0.34492753623188405","7","7","7","0.9394111622637438","0.9251533742331289","0.957286432160804"
"480","9","9","9","0.9005330735281948","0.8819875776397517","0.9149999999999999","9","9","9","0.550532832807083","0.5401785714285714","0.5587229190421893","9","9","9","0.8297285277857794","0.8169696969696969","0.8391777509068923","9","9","9","0.88645224055098","0.8660826032540676","0.8982630272952854","9","9","9","0.8984764157634592","0.891358024691358","0.9057071960297767","9","9","9","0.7137885968190723","0.6847058823529412","0.7587878787878788","9","9","9","0.5392881288680386","0.503579952267303","0.5919610231425092","9","9","9","0.9398641718010481","0.9268897149938042","0.9597989949748744"
"576","11","11","11","0.9092913887283777","0.9034653465346535","0.9160493827160494","11","11","11","0.6324334697593619","0.6184649610678532","0.6495327102803738","11","11","11","0.8641576738918278","0.8511166253101737","0.8713592233009709","11","11","11","0.8870183721434273","0.8742368742368742","0.9130966952264383","11","11","11","0.8909776137673082","0.8712121212121212","0.9082007343941247","11","11","11","0.820372404312231","0.8034188034188035","0.8327402135231317","11","11","11","0.70309610756995","0.6573426573426573","0.7451456310679612","11","11","11","0.9282435715738234","0.9066002490660026","0.9518987341772152"
"672","13","13","13","0.9147440790971618","0.8991282689912827","0.9251533742331288","13","13","13","0.7015739145308384","0.6825938566552902","0.7218934911242604","13","13","13","0.876303246753466","0.8581818181818182","0.8932515337423312","13","13","13","0.9066966594612623","0.8745341614906832","0.9388264669163546","13","13","13","0.9148956017368605","0.9041769041769041","0.9244114002478315","13","13","13","0.838648083286806","0.8250904704463209","0.8491484184914841","13","13","13","0.7896163925872868","0.7616766467065869","0.8121951219512196","13","13","13","0.9275057446255095","0.9102244389027431","0.9622166246851386"
"768","15","15","15","0.9183530622716596","0.8991282689912827","0.9328449328449329","15","15","15","0.7695637186480222","0.7517730496453902","0.7885572139303483","15","15","15","0.8847167085114827","0.8706467661691543","0.9041769041769041","15","15","15","0.9132467188005302","0.8977556109725686","0.9379652605459057","15","15","15","0.9267775510169513","0.9064039408866995","0.9408866995073891","15","15","15","0.8594933807967804","0.8427518427518427","0.8669950738916257","15","15","15","0.8323233560082353","0.8268292682926829","0.8379351740696278","15","15","15","0.9393388060215037","0.9195979899497487","0.9660377358490567"
"864","17","17","17","0.9213094713130026","0.9025","0.9343246592317224","17","17","17","0.8125057094857571","0.7933491686460807","0.8190476190476189","17","17","17","0.8990783079565056","0.8910891089108911","0.910411622276029","17","17","17","0.91017604016808","0.8933002481389579","0.9493201483312732","17","17","17","0.9238369631544137","0.9079445145018917","0.9432098765432098","17","17","17","0.8756435218190056","0.8571428571428572","0.8894348894348895","17","17","17","0.84980142045241","0.8450363196125908","0.854014598540146","17","17","17","0.9393599547718429","0.9215442092154421","0.9516539440203563"
"960","19","19","19","0.9319279642968095","0.9259259259259259","0.9434889434889435","19","19","19","0.848574042615056","0.8343558282208589","0.8633093525179856","19","19","19","0.9017715843138203","0.8910179640718562","0.9197080291970804","19","19","19","0.920120142186521","0.8866749688667498","0.9468479604449939","19","19","19","0.9227508625415626","0.913730255164034","0.9305210918114144","19","19","19","0.887081032510831","0.8639618138424822","0.9037037037037038","19","19","19","0.8560193317172198","0.8504901960784313","0.8641370869033048","19","19","19","0.9405408399880024","0.9282178217821783","0.957286432160804"
