"train/global_step","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/f1","Group: seq_bn-rf64 - eval/f1__MIN","Group: seq_bn-rf64 - eval/f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/f1","Group: seq_bn-rf16 - eval/f1__MIN","Group: seq_bn-rf16 - eval/f1__MAX","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/f1","Group: pt-pl50 - eval/f1__MIN","Group: pt-pl50 - eval/f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/f1","Group: pt-pl5 - eval/f1__MIN","Group: pt-pl5 - eval/f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/f1","Group: unipelt - eval/f1__MIN","Group: unipelt - eval/f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/f1","Group: lora-r16 - eval/f1__MIN","Group: lora-r16 - eval/f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/f1","Group: lora-r8 - eval/f1__MIN","Group: lora-r8 - eval/f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/f1","Group: baseline - eval/f1__MIN","Group: baseline - eval/f1__MAX"
"122","1","1","1","0.6278080610809568","0.5969696969696969","0.667786391042205","1","1","1","0.6514668256515577","0.6337397746565828","0.6899266862170088","1","1","1","0.6666893936162104","0.6528788358114521","0.6993503969796235","1","1","1","0.6594612150663272","0.6339303522278511","0.6758937232356211","1","1","1","0.6551054254719935","0.6358539765319426","0.6782258064516129","1","1","1","0.6404874407594553","0.6246286393345217","0.6760155375600764","1","1","1","0.6326153258035507","0.5981941694544958","0.6738102189781022","1","1","1","0.803281499570675","0.7109554944646705","0.8556621579112929"
"244","3","3","3","0.6842644775043956","0.6425003812719231","0.7129496402877697","3","3","3","0.7125329914577817","0.7054243048977545","0.7171128258430446","3","3","3","0.7797424487038637","0.7305921052631579","0.8123132263420033","3","3","3","0.7662189815362697","0.7337938470869697","0.8209674617878647","3","3","3","0.762140921828306","0.7539886990379824","0.7789473684210526","3","3","3","0.725499347065593","0.7122952431589911","0.7495328467153285","3","3","3","0.6972839371298887","0.6651023005207534","0.7345904199079941","3","3","3","0.8649501682429038","0.8395201930584144","0.8760282890453928"
"366","5","5","5","0.7228711297219721","0.7066176470588235","0.7425806451612903","5","5","5","0.7773392272466413","0.7644319076357912","0.7898027898027897","5","5","5","0.7959326860454412","0.7772194304857621","0.8174792343806428","5","5","5","0.7951967569551874","0.7820714139414214","0.8072960267885891","5","5","5","0.8022586795337073","0.7686590765338394","0.8292627788498026","5","5","5","0.7876195207683931","0.7664821259095222","0.7964285714285715","5","5","5","0.7494519887613038","0.7399981814875431","0.7711286754024598","5","5","5","0.8584829409451048","0.8429546050905274","0.8751002084335417"
"488","7","7","7","0.7431381146861668","0.7190500576110612","0.7728070175438597","7","7","7","0.8035704437001332","0.796615353247018","0.8100071803786705","7","7","7","0.8198196509369435","0.8054576910978295","0.8324259581881532","7","7","7","0.8217885222005228","0.8137194925623028","0.8336643860810711","7","7","7","0.8370127637036202","0.8281017346283209","0.8430067043674827","7","7","7","0.8030202171407513","0.7893841642228739","0.8151164115613962","7","7","7","0.7832746940056072","0.7633894119462881","0.8024159663865547","7","7","7","0.8727231640044625","0.8368354828562441","0.8991765265473572"
"610","9","9","9","0.765284614378264","0.7504244482173175","0.7781114447781114","9","9","9","0.8147523756038252","0.7897487752079297","0.8298403801632752","9","9","9","0.8372990228068456","0.8289650949173301","0.8488361520276414","9","9","9","0.8369647999042608","0.8297692382542047","0.8480717680029244","9","9","9","0.8331153149802644","0.819530641752864","0.8453047161322887","9","9","9","0.8197595254631518","0.8067961718126923","0.8285395893573786","9","9","9","0.8010632230391185","0.7792390194075587","0.814390756302521","9","9","9","0.8596358661793424","0.8377439939939939","0.8873149414352814"
"732","11","11","11","0.7840016576311237","0.7655350631880775","0.8052907201177011","11","11","11","0.8115910942710108","0.7760554889583348","0.8325179481241316","11","11","11","0.8445783476838887","0.8367430441898527","0.8537492688633261","11","11","11","0.8471816867844397","0.8350734843845683","0.8596342841745197","11","11","11","0.8346494041802377","0.8220326383234805","0.8459762412871366","11","11","11","0.8293006342450007","0.8178243195475432","0.844327731092437","11","11","11","0.8145971476501963","0.8035739215412536","0.8289446964056049","11","11","11","0.8727810329280079","0.8448388501742161","0.888964101175568"
"854","13","13","13","0.7912649331144627","0.7790538100397255","0.8039756622954537","13","13","13","0.8310839659490294","0.8234833375639119","0.8419946387230413","13","13","13","0.8471705801739887","0.8393634395533442","0.8536432748117408","13","13","13","0.8498033721153104","0.8276823958370207","0.8628173897776901","13","13","13","0.8407882626331098","0.8295775892541535","0.8524204953403198","13","13","13","0.8343197060965263","0.8289650949173301","0.8461962888779714","13","13","13","0.813061506900247","0.8086360542112754","0.820640215771169","13","13","13","0.8684597639120375","0.8532332818362393","0.8848664457009163"
"976","15","15","15","0.7941377590887797","0.7838695967399185","0.8049369344976196","15","15","15","0.8325215673021026","0.8237705942648565","0.8375505157126486","15","15","15","0.8457641517515946","0.8333281762485303","0.8627064564564565","15","15","15","0.8478413218801322","0.8252627627627628","0.8696646341463414","15","15","15","0.8499288459450731","0.8375505157126486","0.8656154317207594","15","15","15","0.8388047722918708","0.8295950648528947","0.8461962888779714","15","15","15","0.819437772661327","0.8087667849976848","0.8279052989013229","15","15","15","0.8635323172448388","0.8523012380208119","0.8737897035111135"
"1098","17","17","17","0.8045484499326084","0.7887587482322225","0.8237962290701417","17","17","17","0.8394613910582513","0.8336296003686878","0.8454251965513313","17","17","17","0.855118848200281","0.8493865995596099","0.8695225637671682","17","17","17","0.8557932098584313","0.8491633041962088","0.8616171059774413","17","17","17","0.8464365884449316","0.8323529411764705","0.8682773109243698","17","17","17","0.8411576934920669","0.8332268672959993","0.8556004584112431","17","17","17","0.8269802233909692","0.8186363636363636","0.8385441718775052","17","17","17","0.8792543765425685","0.8631217838765008","0.8954723392788977"
"1220","19","19","19","0.8190065829822389","0.8004637206764866","0.8289650949173301","19","19","19","0.8447944766462111","0.8349466368826011","0.8541488972828073","19","19","19","0.8492098011794049","0.8339841249519908","0.8722954807323006","19","19","19","0.8551554984673677","0.8346967124556258","0.8676337535436396","19","19","19","0.8505638049997662","0.8237632508833923","0.8882839721254355","19","19","19","0.8472637048379102","0.8298403801632752","0.8569892473118279","19","19","19","0.8272469941489071","0.8186033824331697","0.8359744037230948","19","19","19","0.8749205013523984","0.8521068445832446","0.8839406001224739"
"1342","21","21","21","0.8213217918259937","0.8141734808401475","0.8245369048813042","21","21","21","0.8462241847995964","0.8377439939939939","0.8545433391506689","21","21","21","0.8561186252518258","0.8430067043674827","0.8823853973772722","21","21","21","0.8620372917411764","0.858259325044405","0.867476104365797","21","21","21","0.8556863418871705","0.8375505157126486","0.8733660552828726","21","21","21","0.8508078799965322","0.8350734843845683","0.8641933287950987","21","21","21","0.837723068518334","0.8272399255573702","0.8464912280701754","21","21","21","0.8772967076601947","0.8682132746146587","0.8867007927797945"
"1464","23","23","23","0.8191803396565653","0.8067969337812972","0.8254579780661698","23","23","23","0.8461020069290548","0.8313646980313647","0.8564658408408408","23","23","23","0.8529154995361534","0.8350789627607721","0.8778322106552358","23","23","23","0.8666281526811364","0.8488361520276414","0.8765906680805938","23","23","23","0.848819931450745","0.8288555273932541","0.8668668668668669","23","23","23","0.8520669643122407","0.8417152566223307","0.8696722245432793","23","23","23","0.833625177199224","0.8262195121951219","0.8430067043674827","23","23","23","0.8804117812381055","0.8744522298370696","0.8882839721254355"
"1586","25","25","25","0.8169078681686592","0.8022843031331996","0.8237632508833923","25","25","25","0.8464250988539683","0.8329898898834439","0.8539996181748759","25","25","25","0.8579055128110266","0.8448388501742161","0.8786430103333984","25","25","25","0.8652113607141381","0.8421640488656195","0.8790689216221131","25","25","25","0.8547595133885144","0.8439846096096095","0.8724195749658803","25","25","25","0.8497899423089124","0.8401647707947546","0.8661961395983623","25","25","25","0.8410741366390978","0.8359175094431583","0.8458135188208294","25","25","25","0.8802943253903599","0.8731122745782431","0.8954723392788977"
"1708","27","27","27","0.8252651293732957","0.8193336965948074","0.8297847585805701","27","27","27","0.8517063794031099","0.8457993935430168","0.858259325044405","27","27","27","0.8648941298824482","0.8556004584112431","0.8775533117267087","27","27","27","0.8690811082870897","0.8602993213495533","0.8878351186601172","27","27","27","0.8676709773040964","0.8522278069611882","0.8787009231453675","27","27","27","0.8521890142370461","0.8383403361344538","0.8609292598654301","27","27","27","0.8390476985859211","0.8272399255573702","0.8491633041962088","27","27","27","0.8786473688051796","0.8703663593044124","0.8884169154604891"
